Using device: cuda
Using 1 GPUs
Epoch 3/50 | Batch 240/847 | Loss: 1.9735 | LR: 4.62e-04
Epoch 3/50 | Batch 250/847 | Loss: 1.9698 | LR: 4.64e-04
Epoch 3/50 | Batch 260/847 | Loss: 1.9679 | LR: 4.67e-04
Epoch 3/50 | Batch 270/847 | Loss: 1.9645 | LR: 4.69e-04
Epoch 3/50 | Batch 280/847 | Loss: 1.9610 | LR: 4.71e-04
Epoch 3/50 | Batch 290/847 | Loss: 1.9600 | LR: 4.74e-04
Epoch 3/50 | Batch 300/847 | Loss: 1.9604 | LR: 4.76e-04
Epoch 3/50 | Batch 310/847 | Loss: 1.9587 | LR: 4.78e-04
Epoch 3/50 | Batch 320/847 | Loss: 1.9557 | LR: 4.81e-04
Epoch 3/50 | Batch 330/847 | Loss: 1.9545 | LR: 4.83e-04
Epoch 3/50 | Batch 340/847 | Loss: 1.9521 | LR: 4.85e-04
Epoch 3/50 | Batch 350/847 | Loss: 1.9493 | LR: 4.88e-04
Epoch 3/50 | Batch 360/847 | Loss: 1.9479 | LR: 4.90e-04
Epoch 3/50 | Batch 370/847 | Loss: 1.9465 | LR: 4.92e-04
Epoch 3/50 | Batch 380/847 | Loss: 1.9444 | LR: 4.95e-04
Epoch 3/50 | Batch 390/847 | Loss: 1.9416 | LR: 4.97e-04
Epoch 3/50 | Batch 400/847 | Loss: 1.9404 | LR: 5.00e-04
Epoch 3/50 | Batch 410/847 | Loss: 1.9385 | LR: 5.02e-04
Epoch 3/50 | Batch 420/847 | Loss: 1.9366 | LR: 5.04e-04
Epoch 3/50 | Batch 430/847 | Loss: 1.9355 | LR: 5.07e-04
Epoch 3/50 | Batch 440/847 | Loss: 1.9333 | LR: 5.09e-04
Epoch 3/50 | Batch 450/847 | Loss: 1.9323 | LR: 5.11e-04
Epoch 3/50 | Batch 460/847 | Loss: 1.9317 | LR: 5.14e-04
Epoch 3/50 | Batch 470/847 | Loss: 1.9307 | LR: 5.16e-04
Epoch 3/50 | Batch 480/847 | Loss: 1.9296 | LR: 5.18e-04
Epoch 3/50 | Batch 490/847 | Loss: 1.9278 | LR: 5.21e-04
Epoch 3/50 | Batch 500/847 | Loss: 1.9261 | LR: 5.23e-04
Epoch 3/50 | Batch 510/847 | Loss: 1.9249 | LR: 5.25e-04
Epoch 3/50 | Batch 520/847 | Loss: 1.9236 | LR: 5.28e-04
Epoch 3/50 | Batch 530/847 | Loss: 1.9227 | LR: 5.30e-04
Epoch 3/50 | Batch 540/847 | Loss: 1.9213 | LR: 5.32e-04
Epoch 3/50 | Batch 550/847 | Loss: 1.9203 | LR: 5.35e-04
Epoch 3/50 | Batch 560/847 | Loss: 1.9194 | LR: 5.37e-04
Epoch 3/50 | Batch 570/847 | Loss: 1.9189 | LR: 5.39e-04
Epoch 3/50 | Batch 580/847 | Loss: 1.9183 | LR: 5.42e-04
Epoch 3/50 | Batch 590/847 | Loss: 1.9180 | LR: 5.44e-04
Epoch 3/50 | Batch 600/847 | Loss: 1.9174 | LR: 5.46e-04
Epoch 3/50 | Batch 610/847 | Loss: 1.9168 | LR: 5.49e-04
Epoch 3/50 | Batch 620/847 | Loss: 1.9160 | LR: 5.51e-04
Epoch 3/50 | Batch 630/847 | Loss: 1.9153 | LR: 5.53e-04
Epoch 3/50 | Batch 640/847 | Loss: 1.9145 | LR: 5.56e-04
Epoch 3/50 | Batch 650/847 | Loss: 1.9138 | LR: 5.58e-04
Epoch 3/50 | Batch 660/847 | Loss: 1.9126 | LR: 5.60e-04
Epoch 3/50 | Batch 670/847 | Loss: 1.9121 | LR: 5.63e-04
Epoch 3/50 | Batch 680/847 | Loss: 1.9114 | LR: 5.65e-04
Epoch 3/50 | Batch 690/847 | Loss: 1.9108 | LR: 5.67e-04
Epoch 3/50 | Batch 700/847 | Loss: 1.9105 | LR: 5.70e-04
Epoch 3/50 | Batch 710/847 | Loss: 1.9099 | LR: 5.72e-04
Epoch 3/50 | Batch 720/847 | Loss: 1.9096 | LR: 5.74e-04
Epoch 3/50 | Batch 730/847 | Loss: 1.9091 | LR: 5.77e-04
Epoch 3/50 | Batch 740/847 | Loss: 1.9079 | LR: 5.79e-04
Epoch 3/50 | Batch 750/847 | Loss: 1.9070 | LR: 5.81e-04
Epoch 3/50 | Batch 760/847 | Loss: 1.9068 | LR: 5.84e-04
Epoch 3/50 | Batch 770/847 | Loss: 1.9062 | LR: 5.86e-04
Epoch 3/50 | Batch 780/847 | Loss: 1.9057 | LR: 5.88e-04
Epoch 3/50 | Batch 790/847 | Loss: 1.9052 | LR: 5.91e-04
Epoch 3/50 | Batch 800/847 | Loss: 1.9052 | LR: 5.93e-04
Epoch 3/50 | Batch 810/847 | Loss: 1.9047 | LR: 5.95e-04
Epoch 3/50 | Batch 820/847 | Loss: 1.9043 | LR: 5.98e-04
Epoch 3/50 | Batch 830/847 | Loss: 1.9033 | LR: 6.00e-04
Epoch 3/50 | Batch 840/847 | Loss: 1.9030 | LR: 6.02e-04
New best model saved with loss: 1.9028
Epoch 4/50 | Batch 10/847 | Loss: 1.8638 | LR: 6.06e-04
Epoch 4/50 | Batch 20/847 | Loss: 1.8483 | LR: 6.09e-04
Epoch 4/50 | Batch 30/847 | Loss: 1.8705 | LR: 6.11e-04
Epoch 4/50 | Batch 40/847 | Loss: 1.8618 | LR: 6.13e-04
Epoch 4/50 | Batch 50/847 | Loss: 1.8541 | LR: 6.16e-04
Epoch 4/50 | Batch 60/847 | Loss: 1.8562 | LR: 6.18e-04
Epoch 4/50 | Batch 70/847 | Loss: 1.8510 | LR: 6.20e-04
Epoch 4/50 | Batch 80/847 | Loss: 1.8529 | LR: 6.23e-04
Epoch 4/50 | Batch 90/847 | Loss: 1.8547 | LR: 6.25e-04
Epoch 4/50 | Batch 100/847 | Loss: 1.8565 | LR: 6.27e-04
Epoch 4/50 | Batch 110/847 | Loss: 1.8531 | LR: 6.30e-04
Epoch 4/50 | Batch 120/847 | Loss: 1.8527 | LR: 6.32e-04
Epoch 4/50 | Batch 130/847 | Loss: 1.8562 | LR: 6.34e-04
